,sentence,category,sentiment
0,"Tires where delivered to the garage of my choice,the garage notified me when they had been delivered. A day and time was arranged with the garage and I went and had them fitted,a Hassel free experience.",garage service,positive
1,"Tires where delivered to the garage of my choice,the garage notified me when they had been delivered. A day and time was arranged with the garage and I went and had them fitted,a Hassel free experience.",ease of booking,positive
2,"Easy Tyre Selection Process, Competitive Pricing and Excellent Fitting Service",garage service,positive
3,"Easy Tyre Selection Process, Competitive Pricing and Excellent Fitting Service",value for money,positive
4,Very easy to use and good value for money.,value for money,positive
5,Really easy and convenient to arrange,ease of booking,positive
6,It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,location,positive
7,It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,value for money,positive
8,It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,ease of booking,positive
9,service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,length of fitting,positive
10,service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,ease of booking,positive
11,service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,ease of booking,negative
12,User friendly Website. Competitive Prices. Good communications. Efficient service by ATS Euromaster.,garage service,positive
13,User friendly Website. Competitive Prices. Good communications. Efficient service by ATS Euromaster.,value for money,positive
14,Excellent prices and service,value for money,positive
15,It was very straightforward and the garage was great. Hadn't even known about them before,garage service,positive
16,Use of local garage.,location,positive
17,"Easy to use, also good price.",value for money,positive
18,Outstanding values for money and a friendly professional service,value for money,positive
19,Great price and easy to use,value for money,positive
20,Good price and easy to use a garage I was familiar with.,value for money,positive
21,Good price and easy to use a garage I was familiar with.,location,positive
22,Booked slot then you couldn't provide it and had to re-arrange. Makes a bit of a mockery of an online booking system...,ease of booking,negative
23,Booked slot then you couldn't provide it and had to re-arrange. Makes a bit of a mockery of an online booking system...,change of date,negative
24,Good price and some good fitting centres,garage service,positive
25,Good price and some good fitting centres,value for money,positive
26,Competitively priced and easy to use fitting centre near me who were very professional.,location,positive
27,Competitively priced and easy to use fitting centre near me who were very professional.,value for money,positive
28,Competitively priced and easy to use fitting centre near me who were very professional.,garage service,positive
29,Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,value for money,positive
30,Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,tyre quality,positive
31,"A really easy website to navigate, competitive prices and a great selection of garages to choose from for fitting.",value for money,positive
32,A very good experience and a set time booking,ease of booking,positive
33,"No hassle, no fuss and a good price",value for money,positive
34,"Good price ,good fitting service at ATS cleckheaton.",value for money,positive
35,"Good price ,good fitting service at ATS cleckheaton.",garage service,positive
36,"Quick and simple website from which to choose the tyres I wanted. Good value, good quality tyres. Whole process from choice to fitting was easy.",tyre quality,positive
37,"Quick and simple website from which to choose the tyres I wanted. Good value, good quality tyres. Whole process from choice to fitting was easy.",value for money,positive
38,"Great choice, quick service and excellent garage for fitting",garage service,positive
39,The staff at the garage have no manners and swear openly in front of customers.,garage service,negative
40,Best prices and fitted by local company.,location,positive
41,Best prices and fitted by local company.,value for money,positive
42,Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,wait time,negative
43,Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,ease of booking,negative
44,Very easy to use and good prices.,value for money,positive
45,"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",garage service,positive
46,"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",value for money,positive
47,"Quick ordering, great service from the garage",garage service,positive
48,Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,delivery punctuality,positive
49,Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,ease of booking,positive
50,Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,value for money,positive
51,Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,location,positive
52,Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,mobile fitter,positive
53,It was easy to find the tyres I needed and close to home for fitting,location,positive
54,Great service car ready on time and price was reasonable,garage service,positive
55,Great service car ready on time and price was reasonable,value for money,positive
56,Great price and service,value for money,positive
57,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),ease of booking,positive
58,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),length of fitting,positive
59,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),advisor/agent service,positive
60,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),advisoragent service,positive
61,Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),garage service,positive
62,"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",value for money,positive
63,"PRICE WAS COMPETATIVE, FITTING WAS EASY",garage service,positive
64,"PRICE WAS COMPETATIVE, FITTING WAS EASY",value for money,positive
65,"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",value for money,positive
66,"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",tyre quality,positive
67,"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",garage service,positive
68,"Easy to order tyres, choose fitting centre and everything went smoothly",garage service,positive
69,"Easy to order tyres, choose fitting centre and everything went smoothly",ease of booking,positive
70,My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,wait time,positive
71,My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,length of fitting,positive
72,My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,garage service,positive
73,Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,garage service,positive
74,"Great choice of tyres and prices, smooth ordering and fitting booking",ease of booking,positive
75,"Great choice of tyres and prices, smooth ordering and fitting booking",value for money,positive
76,Easy to order all ready when I got there fitted quickly with no issues at a good price,garage service,positive
77,Easy to order all ready when I got there fitted quickly with no issues at a good price,length of fitting,positive
